player_id;player_name;player_nickname;last_team_id;last_team_name;last_team_acronym
12180;Tiago Daniel Dias;Tiago;16;Minas;MIN
12182;Marcos Henrique Cunha Silva;Marcos;16;Minas;MIN
12185;Roberto da Rocha Fagundes Filho;Beto;17;Paulistano;CAP
12186;Daniel da Fonseca Garcia Cassiano;Daniel;19;São José;SJO
12187;Anderson Barbosa Miranda Santana;Anderson;17;Paulistano;CAP
12190;Rafael Andrade Bibiano dos Santos;R. Bibiano;284;Pato Basquete;PAT
12191;Igor Rocha Araujo;Igor;285;São Paulo Futebol Clube;SAO
12192;Jonatan Gabriel de Oliveira;Jonatan;17;Paulistano;CAP
12194;Rafael Rachel de Souza Silva;R. Rachel;2;Flamengo;FLA
12197;Maicon Douglas da Silva Waldemar;Maicon;18;Pinheiros;PIN
12209;Felipe da Cruz Cardoso;F Cardoso;54;Mogi;MOG
12218;Lucas Raphael Lacerda Santana;Lucas;54;Mogi;MOG
12226;Paulo Felipe Silva Teodoro de Souza;Baby;19;São José;SJO
12239;Eduardo França Elevi;Edu Marília;14;Franca;FRA
12240;Augusto Alcassa dos Santos Rosa;Augusto;14;Franca;FRA
12260;Marcelo Roque Conceição Rocha Filho;Marcelo;222;Vitória;VIT
12261;Luiz Felipe Moreira do Espírito Santo;L. Felipe;239;Vasco da Gama;VAS
12264;Raphael Luis Feliciano de Souza;Rapha;130;Campo Mourão;CMO
12268;Lucas Romanzini;Romanzini;210;Caxias do Sul;CAX
12269;Billy Ray Rush Junior;Rush;16;Minas;MIN
12272;André Luis dos Santos;André;13;Bauru;BAU
12273;João Marcos Ramos;João Marcos;13;Bauru;BAU
12274;Samuel Cezar Ferreira dos Santos;Pará;13;Bauru;BAU
12276;Rodrigo Italo de Almeida Lima;Robinho;23;L. Sorocabana;LSB
12277;Kevin Freitas Crescenzi;Crescenzi;13;Bauru;BAU
12278;Henrique Moreira da Silva Filho;Henrique;23;L. Sorocabana;LSB
12281;David Ahmad Nesbitt;Nesbitt;279;Corinthians;COR
12282;Cristopher Lashun Ware;Ware;18;Pinheiros;PIN
12291;Demarquise Jaquan Johnson;Johnson;19;São José;SJO
12292;Osvaldas Matulionis;Matulionis;13;Bauru;BAU
12293;Luis Mendonça Ferreira da Silva;Luis;282;Brasília;BSB
12294;Lucas Marciel Rosa Faria;Lucas;23;L. Sorocabana;LSB
12295;Joseph Michael Warren;Warren;210;Caxias do Sul;CAX
12296;Emiliano Raúl Giano Lanchéz;Giano;130;Campo Mourão;CMO
12297;Ryan Isaac Rhoomes;Rhoomes;16;Minas;MIN
12298;Anderson França Varejão;Varejão;2;Flamengo;FLA
12299;João Gabriel Aguiar de Sá Roriz;J. Gabriel;53;Basq. Cearense;CEA
12321;Farad Muhammad Allah Cobb;Cobb;16;Minas;MIN
12322;Nathaniel David Barnes;Barnes;278;UNIFACISA;UFC
12326;Brandon Rashad Davis;Davis;53;Basq. Cearense;CEA
12333;Sérgio Sillas Lucas da Conceição;Conceição;19;São José;SJO
12350;Matheus Weber Barcelos;Matheus Weber;2;Flamengo;FLA
12353;Franco Nicolas Balbi;Balbi;2;Flamengo;FLA
12354;Enzo Gabriel Ruiz;Enzo;129;Rio Claro;RCB
12357;Mauricio Aguiar Barcelona;Aguiar;279;Corinthians;COR
12358;Che Yasin Bob;Bob;16;Minas;MIN
12359;Samuel James Daniel;Sam Daniel;16;Minas;MIN
12361;Dominique Coleman;D. Coleman;17;Paulistano;CAP
12362;Fabián Oscar Sahdi;Sahdi;129;Rio Claro;RCB
12363;Ricardo Sánchez Rosa;Ricky Sánchez;282;Brasília;BSB
12374;Adyel Felipe Pereira Borges;Adyel;14;Franca;FRA
12375;Pedro Eduardo Infante Pereira;Pedro;19;São José;SJO
12381;Marcio Henrique da Costa Santos;Márcio;14;Franca;FRA
12382;João Victor Fidelis Moda;Fidelis;19;São José;SJO
12384;Jean Lucas Cardoso de Oliveira;Jean;19;São José;SJO
12390;Matheus Eugeniusz Silva;Eugeniusz;19;São José;SJO
12392;Jonas Matheus Buffat;Buffat;18;Pinheiros;PIN
12393;Daniel Aleixo de Sousa;D. Souza;18;Pinheiros;PIN
12395;Luan Lima Leite;Luan;18;Pinheiros;PIN
12396;Matheus Santos Neves da Silva;Buiú;17;Paulistano;CAP
12399;Felipe Dalaqua Almentra;Dalaqua;279;Corinthians;COR
12400;Daniel Von Haydin;Von Haydin;279;Corinthians;COR
12409;Guilherme Carvalho dos Santos;Gui Carvalho;16;Minas;MIN
12411;Samuel Ribeiro da Cruz;Ribeiro;16;Minas;MIN
12416;Matheus da Silva Brito;Matheusinho;2;Flamengo;FLA
12419;Aieser Batista Pereira;Aieser;2;Flamengo;FLA
12442;Daniel Ifedi Ferreira Onwenu;Daniel;17;Paulistano;CAP
12444;Luiz Alberto Mendonça do Nascimento;Colina;54;Mogi;MOG
12445;Vinícius Theodoro Ferreira;Vinícius;54;Mogi;MOG
12447;Breno Tosini Vieira Machado;Breno;54;Mogi;MOG
12448;Emanuel Marcilio Matias;Emanuel;13;Bauru;BAU
12449;Vinicius Gabriel Malachias;Malachias;13;Bauru;BAU
12450;Pedro Henrique dos Santos Rodrigues;Pedro;267;Botafogo;BOT
12451;Yan Bastos de Farias;Yan;267;Botafogo;BOT
